,filename,part,staves,mc_mean,mn_mean
234,Pickles_and_Peppers_by_Adaline_Shepherd_1906.mscz,part_1,"[1, 2]",52.82618639222413,52.82618639222413
235,Pineapple_Rag (1).mscz,part_1,"[1, 2]",45.826223337515685,45.826223337515685
236,Pine_Apple_Rag (2).mscz,part_1,"[1, 2]",46.06414172266341,43.668906536346974
237,Pine_Apple_Rag.mscz,part_1,"[1, 2]",45.98893669330055,45.98893669330055
238,Pine_apple_rag_-_Scott_Joplin (1).mscz,part_1,"[1, 2]",45.985248924400736,45.985248924400736
239,Pine_Apple_Rag__Scott_Joplin.mscz,part_1,"[1, 2]",45.4554201411161,45.4554201411161
240,Pine_Tops_Boogie_Woogie.mscz,part_1,"[1, 2]",48.865502595563946,48.865502595563946
241,Pomp_and_Circumstance.mscz,part_1,[1],10.08955223880597,10.08955223880597
242,Princess_Rag_by_James_Scott_1911.mscz,part_1,"[1, 2]",38.903495440729486,38.903495440729486
243,Proyecto_Martinillo_final.mscz,part_1,"[1, 2]",5.404255319148936,5.404255319148936
244,Pure_Imagination.mscz,part_2,"[2, 3]",18.88235294117647,17.88235294117647
245,Quality_Rag_as_performed_by_Tom_Brier.mscz,part_1,"[1, 2]",79.1331096196868,79.1331096196868
246,Ragging_the_Scale_by_Edward_Claypoole_1915.mscz,part_1,"[1, 2]",48.90914560770157,48.90914560770157
247,Ragtime_Eyes.mscz,part_1,[1],57.585439838220424,57.585439838220424
248,Ragtime_Eyes.mscz,part_2,[2],59.92659574468085,59.92659574468085
249,Ragtime_Piano.mscz,part_1,"[1, 2]",399.4275327852144,398.5386287966297
250,Redneck_Rag_-_performed_sedately_by_Tom_Brier.mscz,part_1,"[1, 2]",153.22162998624484,153.22162998624484
251,Reincarnation_of_a_Lovebird_-_Lead_sheet.mscz,part_1,[1],33.791469194312796,33.791469194312796
252,Remember.mscz,part_1,[1],17.154929577464788,17.154929577464788
253,Reuben_Fox_Trot_by_Edward_Claypoole_1914.mscz,part_1,"[1, 2]",52.688,52.688
254,Rhapsody_In_Blue.mscz,part_1,"[1, 2]",11.037142857142857,11.037142857142857
255,Rhapsody_In_Blue_-_Complete_-_Five_Pages.mscz,part_1,"[1, 2]",34.70857699805068,34.70857699805068
256,Rhapsody_in_Blue_-_Part_1_-_Bar_1_-_6.mscz,part_1,"[1, 2]",3.595959595959596,3.595959595959596
257,Rhapsody_In_Blue_-_With_Extra_B.mscz,part_1,"[1, 2]",11.05367231638418,11.05367231638418
258,Rialto_Ripples_Rag_1917.mscz,part_1,"[1, 2]",47.112733644859816,47.112733644859816
259,russian_ragtime.mscz,part_1,"[1, 2]",11.574324324324325,11.574324324324325
260,Russian_Rag_by_George_Cobb_1918.mscz,part_1,[1],52.1723044397463,51.17336152219873
261,Russian_Rag_by_George_Cobb_1918.mscz,part_2,[2],52.80712166172107,51.82195845697329
262,Sarah_Dear_-_Joplin_and_Jackson_-_1905.mscz,part_2,"[2, 3]",20.252482269503545,20.252482269503545
263,Scott_Joplin_-_Bethena_my_arr.mscz,part_1,"[1, 2]",83.13920314805706,83.13920314805706
264,Scott_Joplin_-_Chrysanthemum_my_arr.mscz,part_1,"[1, 2]",51.88137755102041,51.88137755102041
265,Scott_Joplin_-_Cleopha_my_arr.mscz,part_1,"[1, 2]",46.36146272855134,45.36146272855134
266,Scott_Joplin_-_Gladiolus_Rag.mscz,part_1,"[1, 2]",44.92760180995475,43.92760180995475
267,Scott_Joplin_-_Magnetic_Rag.mscz,part_1,"[1, 2]",55.86194779116466,55.86194779116466
268,Scott_Joplin_-_Maple_Leaf_Rag (2).mscz,part_1,"[1, 2]",43.51487553126898,42.51487553126898
269,Scott_Joplin_-_Original_Rags (1).mscz,part_1,"[1, 2]",63.16193181818182,63.16193181818182
270,Scott_Joplin_-_Original_Rags.mscz,part_1,"[1, 2]",63.16193181818182,63.16193181818182
271,Scott_Joplin_-_Paragon_Rag.mscz,part_1,"[1, 2]",44.66794136392607,44.66794136392607
272,Scott_Joplin_-_Pineapple_Rag (1).mscz,part_1,"[1, 2]",45.95997536945813,45.95997536945813
273,Scott_Joplin_-_Reflection_Rag.mscz,part_1,"[1, 2]",46.94729344729345,46.94729344729345
274,Scott_Joplin_-_The_Easy_Winners_my_arr.mscz,part_1,"[1, 2]",48.26086956521739,48.26086956521739
275,Scott_Joplin_-_The_Entertainer_1902.mscz,part_1,"[1, 2]",44.96622781911849,44.96622781911849
276,Scott_Joplin_-_The_Great_Crush_Collision.mscz,part_1,"[1, 2]",51.32380396732789,50.32380396732789
277,Scott_Joplin_-_The_Ragtime_Dance.mscz,part_1,"[1, 2]",39.875901875901874,39.875901875901874
278,Scott_Joplin_-_The_Ragtime_Dance_with_stamping.mscz,part_2,"[2, 3]",39.875901875901874,39.875901875901874
279,Scott_Joplin_-_Weeping_Willow_Rag.mscz,part_1,"[1, 2]",44.2165725047081,44.2165725047081
280,Scott_Joplin_Entertainer_theme.mscz,part_1,"[1, 2]",10.872549019607844,9.872549019607844
281,Scott_Joplin_Pineapple_Rag.mscz,part_1,"[1, 2]",11.600609756097562,11.515243902439025
282,SEARCH-LIGHT_RAG.mscz,part_1,"[1, 2]",48.53446261682243,48.53446261682243
283,Searchlight_Rag_-_Scott_Joplin.mscz,part_1,"[1, 2]",48.294804436660826,48.294804436660826
284,Sentimentale__Claude_Bolling.mscz,part_1,"[1, 2]",12.268072289156626,12.268072289156626
285,Shout_for_Joy__Albert_Ammons.mscz,part_1,"[1, 2]",42.38854489164087,42.38854489164087
286,Silence_and_Fun_by_Charles_E._Mullen_1904.mscz,part_1,[1],32.356580427446566,31.359955005624297
287,Silence_and_Fun_by_Charles_E._Mullen_1904.mscz,part_2,[2],34.53770491803279,33.53934426229508
288,Silent_Night.mscz,part_1,"[1, 2]",6.475206611570248,6.475206611570248
289,Silent_night__Misc_Christmas_Jazzified.mscz,part_1,"[1, 2]",16.465696465696464,16.465696465696464
290,Silver_Bells.mscz,part_1,[1],33.096,32.096
291,Silver_Fox.mscz,part_1,[1],51.00255319148936,50.005106382978724
292,Silver_Fox.mscz,part_2,[2],50.04831460674157,49.050561797752806
293,Silver_Leaf_Rag_by_Dan_Goldsmith_1911.mscz,part_1,"[1, 2]",51.895809739524346,51.895809739524346
294,Skidding.mscz,part_1,"[1, 2]",48.32934782608696,48.32934782608696
295,Smoky_Topaz.mscz,part_1,"[1, 2]",47.72720897615708,47.72720897615708
296,Soap_Suds_by_Irene_M._Giblin_1906.mscz,part_1,"[1, 2]",47.22781911848884,47.22781911848884
297,Solace_-_A_Mexican_Serenade_-_Scott_Joplin_-_1909.mscz,part_1,"[1, 2]",45.1002538071066,45.1002538071066
298,Solace_-_First_Part.mscz,part_1,"[1, 2]",9.43298969072165,8.43298969072165
299,Solace_-_Scott_Joplin (1).mscz,part_1,"[1, 2]",16.983079526226735,16.446700507614214
300,SOLACE_-_Scott_Joplin.mscz,part_1,"[1, 2]",44.95109395109395,44.95109395109395
301,Solace_-_Two_Pages.mscz,part_1,"[1, 2]",9.324607329842932,8.324607329842932
302,Solace_my_arr.mscz,part_1,"[1, 2]",45.1002538071066,45.1002538071066
303,Solace__F_part.mscz,part_1,"[1, 2]",17.563973063973062,17.563973063973062
304,Solace__Six_Pages_-_Scott_Joplin.mscz,part_1,"[1, 2]",24.927672955974842,24.927672955974842
305,Something_Doing.mscz,part_1,"[1, 2]",75.88107729975516,75.88107729975516
306,Somewhere_Over_the_Rainbow-Reharmonized.mscz,part_1,"[1, 2]",16.492273730684328,16.492273730684328
307,Somewhere_Over_The_Rainbow.mscz,part_1,"[1, 2]",4.548387096774194,4.548387096774194
308,Somewhere_Over_The_Rainbow__Judy_Garland.mscz,part_1,"[1, 2]",34.13025210084034,34.13025210084034
309,Some_Day_My_Prince_Will_Come.mscz,part_1,"[1, 2]",16.90530303030303,16.90530303030303
310,Some_Day_My_Prince_Will_Come__Frank_Churchill__Solo_Piano_.mscz,part_1,"[1, 2]",43.74031007751938,43.74031007751938
311,Spring_Time_Rag_by_Paul_Pratt_1916.mscz,part_1,[1],44.70331950207469,44.70331950207469
312,Spring_Time_Rag_by_Paul_Pratt_1916.mscz,part_2,[2],49.63350785340314,49.63350785340314
313,St._Louis_Blues_lead_sheet_and_lyrics.mscz,part_1,[1],31.635555555555555,31.635555555555555
